Time;CH 1 Channel 1
0.004024020;1
0.004024080;0
0.004024120;1
0.004024220;0
0.004024260;1
0.004024320;0
0.004024420;1
0.004024480;0
0.004024520;1
0.004024580;0
0.004024620;1
0.004024680;0
0.004024720;1
0.004024780;0
0.004024820;1
0.004024880;0
0.004024920;1
0.004024980;0
0.004025020;1
0.004025120;0
0.004025220;1
0.004025280;0
0.004025320;1
0.004025380;0
0.004025420;1
0.004025480;0
0.004025520;1
0.004025580;0
0.004025620;1
0.004025680;0
0.004025720;1
0.004025820;0
0.004025860;1
0.004025920;0
0.004026020;1
0.004026080;0
0.004026120;1
0.004026180;0
0.004026220;1
0.004026280;0
0.004026320;1
0.004026380;0
0.004026420;1
0.004026480;0
0.004026520;1
0.004026620;0
0.004026660;1
0.004026720;0
0.004026820;1
0.004026880;0
0.004026920;1
0.004026980;0
0.004027020;1
0.004027080;0
0.004027120;1
0.004027180;0
0.004027220;1
0.004027280;0
0.004027320;1
0.004027420;0
0.004027460;1
0.004027520;0
0.004027620;1
0.004027680;0
0.004027720;1
0.004027780;0
0.004027820;1
0.004027880;0
0.004027920;1
0.004027980;0
0.004028020;1
0.004028080;0
0.004028120;1
0.004028220;0
0.004028260;1
0.004028320;0
0.004028420;1
0.004028480;0
0.004028520;1
0.004028580;0
0.004028620;1
0.004028680;0
0.004028720;1
0.004028780;0
0.004028820;1
0.004028880;0
0.004028920;1
0.004029020;0
0.004029060;1
0.004029120;0
0.004029220;1
0.004029280;0
0.004029320;1
0.004029380;0
0.004029420;1
0.004029480;0
0.004029520;1
0.004029580;0
0.004029620;1
0.004029680;0
0.004029720;1
0.004029820;0
0.004029860;1
0.004029920;0
0.004030020;1
0.004030080;0
0.004030120;1
0.004030180;0
0.004030220;1
0.004030280;0
0.004030320;1
0.004030380;0
0.004030420;1
0.004030480;0
0.004030520;1
0.004030620;0
0.004030660;1
0.004030720;0
0.004030820;1
0.004030880;0
0.004030920;1
0.004030980;0
0.004031020;1
0.004031080;0
0.004031120;1
0.004031180;0
0.004031220;1
0.004031280;0
0.004031320;1
0.004031420;0
0.004031460;1
0.004031520;0
0.004031620;1
0.004031680;0
0.004031720;1
0.004031780;0
0.004031820;1
0.004031880;0
0.004031920;1
0.004031980;0
0.004032020;1
0.004032080;0
0.004032120;1
0.004032180;0
0.004032220;1
0.004032320;0
0.004032420;1
0.004032480;0
0.004032520;1
0.004032580;0
0.004032620;1
0.004032680;0
0.004032720;1
0.004032780;0
0.004032820;1
0.004032880;0
0.004032920;1
0.004033020;0
0.004033060;1
0.004033120;0
0.004033220;1
0.004033280;0
0.004033320;1
0.004033380;0
0.004033420;1
0.004033480;0
0.004033520;1
0.004033580;0
0.004033620;1
0.004033680;0
0.004033720;1
0.004033820;0
0.004033860;1
0.004033920;0
0.004034020;1
0.004034080;0
0.004034120;1
0.004034180;0
0.004034220;1
0.004034280;0
0.004034320;1
0.004034380;0
0.004034420;1
0.004034480;0
0.004034520;1
0.004034580;0
0.004034620;1
0.004034680;0
0.004034720;1
0.004034780;0
0.004034820;1
0.004034880;0
0.004034920;1
0.004034980;0
0.004035020;1
0.004035080;0
0.004035120;1
0.004035180;0
0.004035220;1
0.004035280;0
0.004035320;1
0.004035380;0
0.004035420;1
0.004035480;0
0.004035520;1
0.004035580;0
0.004035620;1
0.004035680;0
0.004035720;1
0.004035780;0
0.004035820;1
0.004035880;0
0.004035920;1
0.004035980;0
0.004036020;1
0.004036080;0
0.004036120;1
0.004036180;0
0.004036220;1
0.004036280;0
0.004036320;1
0.004036380;0
0.004036420;1
0.004036480;0
0.004036520;1
0.004036580;0
0.004036620;1
0.004036680;0
0.004036720;1
0.004036780;0
0.004036820;1
0.004036880;0
0.004036920;1
0.004036980;0
0.004037020;1
0.004037080;0
0.004037120;1
0.004037180;0
0.004037220;1
0.004037280;0
0.004037320;1
0.004037380;0
0.004037420;1
0.004037480;0
0.004037520;1
0.004037580;0
0.004037620;1
0.004037680;0
0.004037720;1
0.004037780;0
0.004037820;1
0.004037880;0
0.004037920;1
0.004037980;0
0.004038020;1
0.004038080;0
0.004038120;1
0.004038180;0
0.004038220;1
0.004038280;0
0.004038320;1
0.004038380;0
0.004038420;1
0.004038480;0
0.004038520;1
0.004038580;0
0.004038620;1
0.004038680;0
0.004038720;1
0.004038780;0
0.004038820;1
0.004038880;0
0.004038920;1
0.004038980;0
0.004039020;1
0.004039080;0
0.004039120;1
0.004039180;0
0.004039220;1
0.004039280;0
0.004039320;1
0.004039380;0
0.004039420;1
0.004039480;0
0.004039520;1
0.004039580;0
0.004039620;1
0.004039680;0
0.004039720;1
0.004039780;0
0.004039820;1
0.004039880;0
0.004039920;1
0.004039980;0
0.004040020;1
0.004040080;0
0.004040120;1
0.004040180;0
0.004040220;1
0.004040280;0
0.004040320;1
0.004040380;0
0.004040420;1
0.004040480;0
0.004040520;1
0.004040580;0
0.004040620;1
0.004040680;0
0.004040720;1
0.004040780;0
0.004040820;1
0.004040880;0
0.004040920;1
0.004040980;0
0.004041020;1
0.004041080;0
0.004041120;1
0.004041180;0
0.004041220;1
0.004041280;0
0.004041320;1
0.004041380;0
0.004041420;1
0.004041480;0
0.004041520;1
0.004041580;0
0.004041620;1
0.004041680;0
0.004041720;1
